date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2023-07-21,1,900948,MZ01,2588.0,2.055255,2.2501287,5.875193,5.909647,26.92929,31.184608,97.31213,99.68418,88.23998,final
2023-08-01,1,900948,MZ01,2588.0,1.2971406,1.5145544,4.9327664,5.5546885,23.213678,24.073982,96.66264,94.10761,97.04098,final
2023-08-11,1,900948,MZ01,2588.0,1.2469088,1.6650438,4.599304,5.429727,21.535164,20.537018,93.72644,92.03792,103.90862,final
2023-08-21,1,900948,MZ01,2588.0,1.5823029,1.7700284,4.1263523,4.9496264,20.270477,18.081299,97.22711,91.72558,109.484634,final
2023-09-01,1,900948,MZ01,2588.0,1.0823029,1.1457496,3.9115148,4.5808215,17.324188,16.300142,98.967636,93.01409,104.8077,final
2023-09-11,1,900948,MZ01,2588.0,1.0351623,1.0965225,3.699768,4.0123005,15.290185,15.2163315,98.99353,96.53216,100.36532,final
2023-09-21,1,900948,MZ01,2588.0,1.6839259,1.6293019,3.8013911,3.871574,13.802937,14.730847,100.823975,99.2089,95.297165,final
2023-10-01,1,900948,MZ01,2588.0,1.1487635,2.0097115,3.8678517,4.7355356,12.712132,14.871046,87.71779,91.08745,89.135376,final
2023-10-11,1,900948,MZ01,2588.0,1.4261979,2.0985188,4.2588873,5.737532,12.55796,15.17956,90.52872,86.2292,87.008644,final
2023-10-21,1,900948,MZ01,2588.0,2.9833848,4.819655,5.5583463,8.927885,13.486091,17.749086,81.300064,75.80724,81.2608,final
2023-11-01,1,900948,MZ01,2588.0,6.5954404,6.6269193,11.005023,13.545093,18.78439,22.86145,99.729256,86.30328,85.36666,final
2023-11-11,1,900948,MZ01,2588.0,25.27898,11.014336,34.857803,22.460909,42.81646,32.210743,189.07422,145.14378,128.50175,final
2023-11-21,1,900948,MZ01,2588.0,27.163446,25.913202,59.037865,43.55446,68.397606,56.353916,104.044365,131.88875,119.62986,final
2023-12-01,1,900948,MZ01,2588.0,44.65147,44.19978,97.0939,81.12732,111.96677,99.40794,100.918076,118.538345,112.02861,final
2023-12-11,1,900948,MZ01,2588.0,16.046368,64.14141,87.86128,134.2544,126.97798,162.45284,30.439598,66.68463,78.81502,final
2023-12-21,1,900948,MZ01,2588.0,54.91306,77.552895,115.6109,185.89409,180.2071,238.37642,72.57536,63.182102,76.09904,final
2024-01-01,1,900948,MZ01,2588.0,138.69011,86.49647,209.64954,226.2646,317.74847,321.11752,157.04443,92.81556,98.96692,final
2024-01-11,1,900948,MZ01,2588.0,100.74845,86.8465,294.35162,251.63005,417.0707,405.92667,115.13608,116.64713,102.71193,final
2024-01-21,1,900948,MZ01,2588.0,105.592735,84.74633,345.0313,258.0893,519.68005,485.83112,123.22814,133.04659,106.89625,final
