ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
MOZ,Cabo Delgado,637211,Households using tanker truck,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TNK,250161074,I,431002,1431002,Region,Cabo Delgado,0,,0,1,WSSRCEHTNK,MZDHS1997431002,1997,DHS,761,860,,,1
MOZ,Nampula,3020560,Households using tanker truck,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TNK,250161074,I,431003,1431003,Region,Nampula,0,,0,1,WSSRCEHTNK,MZDHS1997431003,1997,DHS,1766,1067,,,1
MOZ,Zambézia,6430489,Households using tanker truck,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TNK,250161074,I,431004,1431004,Region,Zambézia,0,,0,1,WSSRCEHTNK,MZDHS1997431004,1997,DHS,1755,1008,,,1
MOZ,Tete,6830337,Households using tanker truck,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TNK,250161074,I,431005,1431005,Region,Tete,0,,0,1,WSSRCEHTNK,MZDHS1997431005,1997,DHS,418,670,,,1
MOZ,Manica,4858125,Households using tanker truck,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TNK,250161074,I,431006,1431006,Region,Manica,0,,0,1,WSSRCEHTNK,MZDHS1997431006,1997,DHS,432,782,,,1
MOZ,Sofala,7485887,Households using tanker truck,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TNK,250161074,I,431007,1431007,Region,Sofala,0,,0,1,WSSRCEHTNK,MZDHS1997431007,1997,DHS,993,941,,,1
MOZ,Inhambane,7102388,Households using tanker truck,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TNK,250161074,I,431008,1431008,Region,Inhambane,0,,0,1,WSSRCEHTNK,MZDHS1997431008,1997,DHS,820,812,,,1
MOZ,Gaza,5819957,Households using tanker truck,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TNK,250161074,I,431009,1431009,Region,Gaza,0,,0,1,WSSRCEHTNK,MZDHS1997431009,1997,DHS,784,826,,,1
MOZ,Maputo Provincia,1174855,Households using tanker truck,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TNK,250161074,I,431010,1431010,Region,Maputo Provincia,0,,0,1,WSSRCEHTNK,MZDHS1997431010,1997,DHS,573,628,,,1
MOZ,Maputo Cidade,7310770,Households using tanker truck,0.1,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TNK,250161074,I,431011,1431011,Region,Maputo Cidade,0,,0,1,WSSRCEHTNK,MZDHS1997431011,1997,DHS,433,788,,,1
MOZ,Niassa,7694135,Households using an unimproved water source,96,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_NIM,250161090,I,431001,1431001,Region,Niassa,0,,0,1,WSSRCEHNIM,MZDHS1997431001,1997,DHS,547,900,,,1
MOZ,Cabo Delgado,637158,Households using an unimproved water source,61.2,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_NIM,250161090,I,431002,1431002,Region,Cabo Delgado,0,,0,1,WSSRCEHNIM,MZDHS1997431002,1997,DHS,761,860,,,1
MOZ,Nampula,3020914,Households using an unimproved water source,86.3,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_NIM,250161090,I,431003,1431003,Region,Nampula,0,,0,1,WSSRCEHNIM,MZDHS1997431003,1997,DHS,1766,1067,,,1
MOZ,Zambézia,6430465,Households using an unimproved water source,92.6,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_NIM,250161090,I,431004,1431004,Region,Zambézia,0,,0,1,WSSRCEHNIM,MZDHS1997431004,1997,DHS,1755,1008,,,1
MOZ,Tete,6830326,Households using an unimproved water source,88.4,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_NIM,250161090,I,431005,1431005,Region,Tete,0,,0,1,WSSRCEHNIM,MZDHS1997431005,1997,DHS,418,670,,,1
MOZ,Manica,4858133,Households using an unimproved water source,87,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_NIM,250161090,I,431006,1431006,Region,Manica,0,,0,1,WSSRCEHNIM,MZDHS1997431006,1997,DHS,432,782,,,1
MOZ,Sofala,7485873,Households using an unimproved water source,80.4,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_NIM,250161090,I,431007,1431007,Region,Sofala,0,,0,1,WSSRCEHNIM,MZDHS1997431007,1997,DHS,993,941,,,1
MOZ,Inhambane,7102375,Households using an unimproved water source,87.8,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_NIM,250161090,I,431008,1431008,Region,Inhambane,0,,0,1,WSSRCEHNIM,MZDHS1997431008,1997,DHS,820,812,,,1
MOZ,Gaza,5819954,Households using an unimproved water source,78.7,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_NIM,250161090,I,431009,1431009,Region,Gaza,0,,0,1,WSSRCEHNIM,MZDHS1997431009,1997,DHS,784,826,,,1
MOZ,Maputo Provincia,1174810,Households using an unimproved water source,37.6,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_NIM,250161090,I,431010,1431010,Region,Maputo Provincia,0,,0,1,WSSRCEHNIM,MZDHS1997431010,1997,DHS,573,628,,,1
MOZ,Maputo Cidade,7310772,Households using an unimproved water source,16.1,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_NIM,250161090,I,431011,1431011,Region,Maputo Cidade,0,,0,1,WSSRCEHNIM,MZDHS1997431011,1997,DHS,433,788,,,1
MOZ,Niassa,7694145,Households using surface water,20.3,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_SRF,250161130,I,431001,1431001,Region,Niassa,0,,0,1,WSSRCEHSRF,MZDHS1997431001,1997,DHS,547,900,,,1
MOZ,Cabo Delgado,637210,Households using surface water,14.2,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_SRF,250161130,I,431002,1431002,Region,Cabo Delgado,0,,0,1,WSSRCEHSRF,MZDHS1997431002,1997,DHS,761,860,,,1
MOZ,Nampula,3020559,Households using surface water,12,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_SRF,250161130,I,431003,1431003,Region,Nampula,0,,0,1,WSSRCEHSRF,MZDHS1997431003,1997,DHS,1766,1067,,,1
MOZ,Zambézia,6430488,Households using surface water,29.9,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_SRF,250161130,I,431004,1431004,Region,Zambézia,0,,0,1,WSSRCEHSRF,MZDHS1997431004,1997,DHS,1755,1008,,,1
MOZ,Tete,6830334,Households using surface water,6.6,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_SRF,250161130,I,431005,1431005,Region,Tete,0,,0,1,WSSRCEHSRF,MZDHS1997431005,1997,DHS,418,670,,,1
MOZ,Manica,4858134,Households using surface water,17.3,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_SRF,250161130,I,431006,1431006,Region,Manica,0,,0,1,WSSRCEHSRF,MZDHS1997431006,1997,DHS,432,782,,,1
MOZ,Sofala,7485875,Households using surface water,16,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_SRF,250161130,I,431007,1431007,Region,Sofala,0,,0,1,WSSRCEHSRF,MZDHS1997431007,1997,DHS,993,941,,,1
MOZ,Inhambane,7102387,Households using surface water,10.1,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_SRF,250161130,I,431008,1431008,Region,Inhambane,0,,0,1,WSSRCEHSRF,MZDHS1997431008,1997,DHS,820,812,,,1
MOZ,Gaza,5819956,Households using surface water,10.9,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_SRF,250161130,I,431009,1431009,Region,Gaza,0,,0,1,WSSRCEHSRF,MZDHS1997431009,1997,DHS,784,826,,,1
MOZ,Maputo Provincia,1174845,Households using surface water,5,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_SRF,250161130,I,431010,1431010,Region,Maputo Provincia,0,,0,1,WSSRCEHSRF,MZDHS1997431010,1997,DHS,573,628,,,1
MOZ,Maputo Cidade,7310769,Households using surface water,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_SRF,250161130,I,431011,1431011,Region,Maputo Cidade,0,,0,1,WSSRCEHSRF,MZDHS1997431011,1997,DHS,433,788,,,1
MOZ,Niassa,7694149,Households with don't know or missing information on water source,0.6,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_DKM,250161150,S,431001,1431001,Region,Niassa,0,,0,1,WSSRCEHDKM,MZDHS1997431001,1997,DHS,547,900,,,1
MOZ,Cabo Delgado,637165,Households with don't know or missing information on water source,2.4,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_DKM,250161150,S,431002,1431002,Region,Cabo Delgado,0,,0,1,WSSRCEHDKM,MZDHS1997431002,1997,DHS,761,860,,,1
MOZ,Nampula,3020541,Households with don't know or missing information on water source,0.1,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_DKM,250161150,S,431003,1431003,Region,Nampula,0,,0,1,WSSRCEHDKM,MZDHS1997431003,1997,DHS,1766,1067,,,1
MOZ,Zambézia,6430568,Households with don't know or missing information on water source,0.5,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_DKM,250161150,S,431004,1431004,Region,Zambézia,0,,0,1,WSSRCEHDKM,MZDHS1997431004,1997,DHS,1755,1008,,,1
MOZ,Tete,6830338,Households with don't know or missing information on water source,1.2,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_DKM,250161150,S,431005,1431005,Region,Tete,0,,0,1,WSSRCEHDKM,MZDHS1997431005,1997,DHS,418,670,,,1
MOZ,Manica,4858140,Households with don't know or missing information on water source,0.4,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_DKM,250161150,S,431006,1431006,Region,Manica,0,,0,1,WSSRCEHDKM,MZDHS1997431006,1997,DHS,432,782,,,1
MOZ,Sofala,7485881,Households with don't know or missing information on water source,0.2,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_DKM,250161150,S,431007,1431007,Region,Sofala,0,,0,1,WSSRCEHDKM,MZDHS1997431007,1997,DHS,993,941,,,1
MOZ,Inhambane,7102365,Households with don't know or missing information on water source,0.3,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_DKM,250161150,S,431008,1431008,Region,Inhambane,0,,0,1,WSSRCEHDKM,MZDHS1997431008,1997,DHS,820,812,,,1
MOZ,Gaza,5819951,Households with don't know or missing information on water source,0.3,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_DKM,250161150,S,431009,1431009,Region,Gaza,0,,0,1,WSSRCEHDKM,MZDHS1997431009,1997,DHS,784,826,,,1
MOZ,Maputo Provincia,1174804,Households with don't know or missing information on water source,0.7,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_DKM,250161150,S,431010,1431010,Region,Maputo Provincia,0,,0,1,WSSRCEHDKM,MZDHS1997431010,1997,DHS,573,628,,,1
MOZ,Maputo Cidade,7310758,Households with don't know or missing information on water source,0.6,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_DKM,250161150,S,431011,1431011,Region,Maputo Cidade,0,,0,1,WSSRCEHDKM,MZDHS1997431011,1997,DHS,433,788,,,1
MOZ,Niassa,7694137,Households: Total,100,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TOT,250161160,T,431001,1431001,Region,Niassa,0,,0,1,WSSRCEHTOT,MZDHS1997431001,1997,DHS,547,900,,,1
MOZ,Cabo Delgado,637160,Households: Total,100,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TOT,250161160,T,431002,1431002,Region,Cabo Delgado,0,,0,1,WSSRCEHTOT,MZDHS1997431002,1997,DHS,761,860,,,1
MOZ,Nampula,3020916,Households: Total,100,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TOT,250161160,T,431003,1431003,Region,Nampula,0,,0,1,WSSRCEHTOT,MZDHS1997431003,1997,DHS,1766,1067,,,1
MOZ,Zambézia,6430467,Households: Total,100,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TOT,250161160,T,431004,1431004,Region,Zambézia,0,,0,1,WSSRCEHTOT,MZDHS1997431004,1997,DHS,1755,1008,,,1
MOZ,Tete,6830329,Households: Total,100,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TOT,250161160,T,431005,1431005,Region,Tete,0,,0,1,WSSRCEHTOT,MZDHS1997431005,1997,DHS,418,670,,,1
MOZ,Manica,4858144,Households: Total,100,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TOT,250161160,T,431006,1431006,Region,Manica,0,,0,1,WSSRCEHTOT,MZDHS1997431006,1997,DHS,432,782,,,1
MOZ,Sofala,7485884,Households: Total,100,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TOT,250161160,T,431007,1431007,Region,Sofala,0,,0,1,WSSRCEHTOT,MZDHS1997431007,1997,DHS,993,941,,,1
MOZ,Inhambane,7102377,Households: Total,100,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TOT,250161160,T,431008,1431008,Region,Inhambane,0,,0,1,WSSRCEHTOT,MZDHS1997431008,1997,DHS,820,812,,,1
MOZ,Gaza,5819958,Households: Total,100,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TOT,250161160,T,431009,1431009,Region,Gaza,0,,0,1,WSSRCEHTOT,MZDHS1997431009,1997,DHS,784,826,,,1
MOZ,Maputo Provincia,1174819,Households: Total,100,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TOT,250161160,T,431010,1431010,Region,Maputo Provincia,0,,0,1,WSSRCEHTOT,MZDHS1997431010,1997,DHS,573,628,,,1
