name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4200,total,89975,63.16,6987,4.9
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4200,under_5,15374,63.16,1194,4.91
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4200,women_childbearing,22139,63.16,1719,4.9
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4800,adults,89378,66.43,4396,3.27
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4800,elderly,4522,66.43,223,3.28
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4800,school_age,50805,66.43,2498,3.27
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4800,total,94629,66.43,4654,3.27
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4800,under_5,16169,66.42,795,3.27
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4800,women_childbearing,23285,66.43,1146,3.27
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,5400,adults,97419,72.4,8041,5.98
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,5400,elderly,4929,72.41,407,5.98
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,5400,school_age,55377,72.4,4572,5.98
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,5400,total,103143,72.4,8514,5.98
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,5400,under_5,17624,72.4,1455,5.98
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,5400,women_childbearing,25380,72.4,2095,5.98
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,6000,adults,98535,73.23,1116,0.83
