id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +icao","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
340238,MZ-0048,small_airport,"Afungi Airport",-10.84903,40.50541,,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Palma,0,,,,,,,,50,2021-01-26T22:38:44+00:00
340242,PEB,small_airport,"Pebane Airport",-17.27276,38.18073,,AF,Mozambique,MZ,"Zambezia Province",MZ-Q,Q,Pebane,0,,,PEB,,,,,50,2021-01-26T23:10:09+00:00
340243,MZ-0052,small_airport,"Pomene Airstrip",-22.94259,35.57047,,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,Pomene,0,,,,,,,,50,2021-01-26T23:22:24+00:00
30279,FQPO,small_airport,"Ponta do Ouro Airport",-26.826913,32.838444,92,AF,Mozambique,MZ,"Maputo Province",MZ-L,L,"Ponta do Ouro",0,FQPO,FQPO,PDD,,,https://en.wikipedia.org/wiki/Ponta_do_Ouro_Airport,,50,2021-01-26T23:41:52+00:00
326992,MZ-0046,small_airport,"Quirimba Airstrip",-12.429533,40.614222,39,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,"Quirimba Island",0,,,,,,,,50,2018-04-08T11:38:18+00:00
318847,MZ-0007,small_airport,"Quissico Airport",-24.70554,34.732691,,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,Quissico,0,,,,,,,,50,2016-06-17T06:27:42+00:00
318954,MZ-0024,small_airport,"Sussundenga Airport",-19.408009,33.28094,,AF,Mozambique,MZ,"Manica Province",MZ-B,B,Sussundenga,0,,,,,,,,50,2016-06-20T09:32:24+00:00
321445,MZ-0041,small_airport,"Vale Chassapa Airport",-18.394034,35.599975,,AF,Mozambique,MZ,"Sofala Province",MZ-S,S,"Vale Chassapa",0,,,,,,,,50,2016-12-09T13:43:08+00:00
4955,FQ49,small_airport,"Vila Franca do Save Airport",-21.164499282836914,34.560699462890625,98,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,"Vila Franca do Save",0,FQ49,,,FQ49,,,,50,2009-07-08T22:08:40+00:00
340244,MZ-0053,small_airport,"Zongoene Airport",-25.19949,33.50123,,AF,Mozambique,MZ,"Gaza Province",MZ-G,G,Xai-Xai,0,,,,,,,,50,2021-01-26T23:28:31+00:00
318846,MZ-0006,small_airport,"Xinavane Airport",-25.031328,32.748115,,AF,Mozambique,MZ,"Maputo Province",MZ-L,L,Xinavane,0,,,,,,,,50,2016-06-17T06:12:16+00:00
318960,MZ-0029,small_airport,"Zambue Airport",-15.132704,30.802094,,AF,Mozambique,MZ,"Tete Province",MZ-T,T,Zambue,0,,,,,,,,50,2016-06-20T10:00:22+00:00
318958,MZ-0028,small_airport,"Zumbo Airport",-15.612746,30.421241,,AF,Mozambique,MZ,"Tete Province",MZ-T,T,Zumbo,0,,,,,,,,50,2022-01-20T02:05:49+00:00
351656,MZ-0057,closed,"Chupanga Airport",-18.0336,35.61152,123,AF,Mozambique,MZ,"Sofala Province",MZ-S,S,Chupanga,0,,,,,,,,0,2022-01-20T01:59:31+00:00
351655,MZ-0056,closed,"Former Marromeu Airport",-18.29363,35.93434,43,AF,Mozambique,MZ,"Sofala Province",MZ-S,S,Marromeu,0,,,,,,,RRM,0,2022-01-20T01:58:17+00:00
342732,MZ-0055,closed,"Moma Airport",-16.74466,39.21883,20,AF,Mozambique,MZ,"Nampula Province",MZ-N,N,Moma,0,,,,,,,"MMW, MMW",0,2021-04-08T11:38:28+00:00
595493,MZ-0060,closed,"Nairrubi Airstrip",-13.4929,36.0764,2247,AF,Mozambique,MZ,"Niassa Province",MZ-A,A,Nairrubi,0,,,,,,,,0,2025-03-20T07:44:35+00:00
340240,MZ-0050,closed,"Quinga Airstrip",-15.84374,40.23132,,AF,Mozambique,MZ,"Nampula Province",MZ-N,N,Quinga,0,,,,,,,,0,2021-01-26T22:55:23+00:00
340239,MZ-0049,closed,"Quiterajo Airstrip",-11.75407,40.42514,,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Quiterajo,0,,,,,,,,0,2021-01-26T22:43:31+00:00
351657,MZ-0058,closed,"Tambara Airport",-16.73837,34.23129,486,AF,Mozambique,MZ,"Manica Province",MZ-B,B,Tambara,0,,,,,,,,0,2022-01-20T02:01:48+00:00
318855,MZ-0015,closed,"Tecomaji Airport",-10.776306,40.643912,,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Tecomaji,0,,,,,,,,0,2016-06-17T06:50:38+00:00
