name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,40000,school_age,877,1.31,74,0.11
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,40000,total,1659,1.31,140,0.11
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,45000,school_age,3004,4.47,2127,3.17
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,45000,total,5680,4.47,4021,3.17
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,50000,school_age,8415,12.53,5411,8.06
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,50000,total,15913,12.54,10233,8.06
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,5000,school_age,36285,58.51,36285,58.51
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,5000,total,72643,58.51,72643,58.51
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,10000,school_age,53921,86.96,17636,28.44
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,10000,total,107950,86.95,35307,28.44
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,15000,school_age,57750,93.13,3829,6.17
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,15000,total,115615,93.13,7665,6.17
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,20000,school_age,59842,96.5,2092,3.37
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,20000,total,119804,96.5,4189,3.37
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,25000,school_age,60225,97.12,383,0.62
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,25000,total,120570,97.12,766,0.62
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,30000,school_age,60636,97.78,411,0.66
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,30000,total,121395,97.78,825,0.66
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,35000,school_age,61285,98.83,649,1.05
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,35000,total,122696,98.83,1301,1.05
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,40000,school_age,61400,99.02,115,0.19
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,40000,total,122925,99.01,229,0.18
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,45000,school_age,61873,99.78,473,0.76
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,45000,total,123873,99.78,948,0.76
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,50000,school_age,62010,100.0,137,0.22
Boane,,85939544B68927430168058,MOZ,ADM2,education,DISTANCE,50000,total,124148,100.0,275,0.22
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,5000,school_age,9142,9.0,9142,9.0
